-7736,-1077,3415
-7730,-1074,3417
-7730,-1079,3416
-7728,-1076,3416
-7725,-1076,3420
-7724,-1082,3419
-7724,-1083,3415
-7724,-1080,3416
-7723,-1083,3421
-7720,-1083,3417
-7719,-1084,3417
-7720,-1083,3419
-7717,-1085,3421
-7716,-1089,3416
-7722,-1087,3415
-7718,-1086,3416
-7714,-1089,3420
-7714,-1089,3419
-7715,-1091,3414
-7711,-1087,3415
-7709,-1090,3419
-7709,-1091,3415
-7709,-1091,3413
-7708,-1088,3413
-7708,-1089,3416
-7710,-1093,3411
-7708,-1088,3411
-7709,-1092,3417
-7710,-1089,3417
-7708,-1092,3414
-7707,-1091,3417
-7709,-1091,3416
-7712,-1092,3416
-7712,-1091,3414
-7710,-1089,3417
-7707,-1093,3417
-7708,-1095,3415
-7706,-1089,3416
-7704,-1090,3415
-7705,-1094,3419
-7704,-1091,3415
-7706,-1091,3413
-7706,-1091,3411
-7703,-1093,3413
-7706,-1092,3412
-7704,-1094,3413
-7701,-1092,3417
-7704,-1092,3415
-7706,-1089,3414
-7702,-1091,3414
-7705,-1091,3415
-7704,-1092,3412
-7709,-1093,3412
-7708,-1087,3413
-7707,-1090,3415
-7705,-1093,3412
-7706,-1090,3408
-7704,-1091,3410
-7703,-1091,3417
-7707,-1092,3413
-7708,-1087,3415
-7703,-1090,3414
-7703,-1088,3413
-7704,-1091,3410
-7704,-1090,3411
-7701,-1092,3415
-7702,-1093,3410
-7703,-1093,3408
-7705,-1089,3413
-7706,-1094,3415
-7703,-1092,3416
-7705,-1091,3415
-7715,-1082,3413
-7716,-1078,3419
-7722,-1070,3416
-7728,-1054,3418
-7731,-1038,3423
-7730,-1041,3425
-7736,-1038,3422
-7737,-1034,3426
-7734,-1029,3426
-7733,-1032,3428
-7734,-1031,3421
-7738,-1026,3422
-7741,-1014,3427
-7752,-987,3426
-7770,-932,3429
-7787,-863,3428
-7808,-774,3427
-7848,-591,3424
-7894,-363,3432
-7943,-123,3493
-8009,152,3621
-8066,463,3768
-8081,800,3913
-8052,1135,4046
-7986,1461,4158
-7844,1820,4233
-7601,2223,4266
-7236,2674,4238
-6728,3143,4167
-6074,3609,4067
-5272,4036,3959
-4341,4384,3842
-3476,4579,3809
-2789,4630,3879
-2201,4592,3986
-1663,4480,4112
-1189,4307,4238
-755,4079,4352
-295,3785,4414
185,3417,4420
623,3011,4372
998,2565,4297
1242,2119,4266
1349,1678,4298
1360,1247,4370
1266,786,4503
1063,264,4675
771,-211,4872
385,-641,5116
-59,-1014,5403
-594,-1369,5727
-1191,-1691,6079
-1940,-2022,6486
-2882,-2335,6987
-4017,-2571,7560
-5004,-2641,8072
-5829,-2589,8518
-6500,-2465,8903
-7030,-2291,9233
-7454,-2094,9518
-7810,-1875,9762
-8158,-1624,9972
-8481,-1321,10139
-8749,-974,10256
-8908,-621,10321
-8963,-267,10356
-8919,103,10362
-8774,496,10331
-8528,865,10271
-8269,1145,10199
-8099,1287,10154
-7933,1416,10108
-7718,1556,10044
-7418,1715,9964
-7009,1881,9843
-6463,2039,9684
-5870,2134,9503
-5233,2167,9305
-5087,2134,9258
-5281,2146,9324
-5407,2154,9356
-5481,2152,9379
-5552,2145,9405
-5608,2139,9426
-5643,2133,9441
-5666,2130,9455
-5703,2126,9467
-5801,2111,9501
-5897,2106,9527
-5936,2113,9534
-5942,2116,9529
-5941,2122,9520
-5927,2130,9513
-5893,2138,9493
-5858,2146,9474
-5833,2144,9462
-5834,2150,9466
-5830,2151,9464
-5820,2152,9462
-5797,2160,9450
-5759,2169,9434
-5727,2174,9421
-5708,2176,9409
-5697,2176,9402
-5692,2177,9398
-5689,2176,9399
-5688,2180,9397
-5670,2180,9388
-5625,2192,9369
-5540,2208,9329
-5409,2231,9264
-5247,2256,9189
-5199,2264,9162
-5224,2257,9177
-5226,2258,9180
-5217,2255,9179
-5238,2246,9194
-5301,2229,9233
-5354,2209,9271
-5355,2198,9282
-5304,2196,9266
-5241,2191,9252
-5171,2185,9234
-5097,2179,9219
-5008,2166,9200
-4921,2147,9181
-4831,2133,9159
-4733,2108,9135
-4625,2086,9106
-4501,2053,9078
-4343,2013,9033
-4127,1954,8964
-3869,1876,8869
-3586,1770,8759
-3278,1629,8634
-2973,1468,8492
-2686,1302,8343
-2368,1080,8160
-2040,793,7949
-1740,472,7716
-1475,175,7457
-1242,-90,7200
-1047,-326,6958
-929,-573,6751
-937,-896,6614
-1037,-1236,6515
-1147,-1522,6425
-1309,-1793,6364
-1570,-2072,6353
-1805,-2277,6357
-2097,-2462,6424
-2485,-2645,6547
-2893,-2805,6673
-3312,-2946,6804
-3775,-3071,6938
-4331,-3188,7098
-4954,-3259,7279
-5753,-3273,7514
-6855,-3128,7841
-7786,-2834,8078
-8468,-2477,8215
-8941,-2096,8301
-9263,-1720,8352
-9472,-1372,8377
-9600,-1054,8379
-9688,-709,8374
-9717,-359,8351
-9685,62,8300
-9563,542,8204
-9339,1029,8057
-8997,1534,7839
-8514,2057,7550
-7882,2577,7200
-7113,3064,6802
-6214,3496,6365
-5234,3849,5878
-4208,4112,5362
-3287,4287,4809
-2569,4406,4225
-1847,4482,3683
-1167,4509,3188
-605,4502,2803
-139,4473,2485
315,4412,2215
776,4313,1985
1236,4161,1794
1674,3964,1654
2067,3730,1565
2424,3454,1489
2740,3133,1434
2995,2807,1394
3177,2517,1365
3331,2236,1312
3443,1964,1267
3507,1714,1260
3539,1459,1277
3548,1246,1285
3571,1212,1246
3609,1204,1180
3641,1125,1138
3640,1007,1133
3635,951,1142
3636,927,1141
3626,839,1158
3607,724,1169
3593,671,1177
3595,668,1176
3596,670,1180
3598,673,1173
3609,671,1167
3614,672,1162
3627,670,1154
3635,678,1150
3633,676,1149
3645,680,1138
3652,690,1134
3650,687,1134
3644,640,1142
3615,504,1160
3552,292,1190
3463,41,1242
3355,-216,1297
3206,-498,1361
3007,-808,1447
2777,-1115,1541
2523,-1403,1643
2226,-1701,1755
1870,-2010,1883
1437,-2333,2040
859,-2694,2251
259,-3008,2451
-406,-3284,2670
-1218,-3547,2927
-2253,-3772,3245
-3551,-3875,3625
-5105,-3729,4051
-6455,-3294,4375
-7383,-2723,4579
-7989,-2103,4661
-8320,-1474,4597
-8419,-875,4395
-8352,-331,4110
-8174,153,3782
-7956,573,3482
-7755,888,3264
-7718,880,3188
-7756,788,3228
-7778,763,3257
-7774,774,3255
-7774,775,3257
-7763,803,3254
-7717,963,3244
-7616,1215,3215
-7438,1534,3136
-7183,1904,3029
-6852,2296,2901
-6441,2694,2744
-6011,3045,2581
-5581,3341,2415
-5074,3635,2190
-4507,3897,1897
-3867,4146,1577
-3160,4381,1267
-2432,4574,994
-1787,4693,737
-1309,4747,455
-943,4771,203
-562,4793,-15
-139,4804,-198
307,4796,-353
783,4764,-487
1256,4699,-624
1711,4607,-742
2050,4516,-833
2369,4408,-915
2705,4272,-1013
